company,job_title,linkedin_job_id,location,posted_on,posted_date,Employment type,Seniority level
Microsoft,Software Engineer,3989055028,"Hyderabad, Telangana, India",1 week ago,2024-07-31,None,None
Microsoft,SOFTWARE ENGINEER,3974756992,"Bengaluru, Karnataka, India",6 days ago,2024-08-07,None,None
Microsoft,Software Engineer,3989052221,"Hyderabad, Telangana, India",1 week ago,2024-07-31,None,None
Google,"Product Manager, Google Home/Nest Subscriptions",3986125925,"Bengaluru, Karnataka, India",2 weeks ago,2024-07-30,None,None
Google,"Workday Analyst, People Operations",3987931285,"Bengaluru, Karnataka, India",1 week ago,2024-08-01,None,None
Google,"Financial Analyst, Ads Operations",3994990400,"Gurgaon, Haryana, India",1 week ago,2024-08-06,None,None
Google,Internal Communications Specialist,3995442391,"Bengaluru, Karnataka, India",4 days ago,2024-08-09,None,None
Google,"Product Manager, Member Retention and Experience",3979728661,"Bengaluru, Karnataka, India",4 days ago,2024-08-09,None,None
Google,"Software Engineer, Front End, Google Cloud",3969218226,"Bengaluru, Karnataka, India",2 weeks ago,2024-07-30,None,None
Google,"Product Manager, Ads Incentives",3989641657,"Bengaluru, Karnataka, India",1 week ago,2024-08-01,None,None
Google,"Business Finance Analyst, Finance, Google Customer Solutions",3991696171,"Bengaluru, Karnataka, India",1 week ago,2024-08-05,None,None
Google,"Program Manager, Vendor Quality Operations",3979738058,"Bengaluru, Karnataka, India",4 days ago,2024-08-09,None,None
Google,"Research Scientist, Google Assistant",3979726750,"Bengaluru, Karnataka, India",4 days ago,2024-08-09,None,None
Microsoft,Software Engineering: Internship Opportunity,3982194909,"Telangana, India",21 hours ago,2024-08-13,None,None
Google,"Product Support Manager, Google Play",3980065043,"Gurgaon, Haryana, India",21 hours ago,2024-08-13,None,None
Google,"Business Finance Analyst, Ads, Google Customer Solutions",3992356305,"Bengaluru, Karnataka, India",1 week ago,2024-08-06,None,None
Google,"Administrative Business Partner, International Controllership",3985688209,"Hyderabad, Telangana, India",2 weeks ago,2024-07-30,None,None
Google,"Product Manager, Play Store, CRM",3973988251,"Bengaluru, Karnataka, India",6 days ago,2024-08-07,None,None
Google,"Recruiter, Global Business Organization and Functions",3995407514,"Hyderabad, Telangana, India",4 days ago,2024-08-09,None,None
Google,"Product Support Consultant, gTech",3980060238,"Gurgaon, Haryana, India",21 hours ago,2024-08-13,None,None
Google,"Product Manager, Home Premium Growth",3996905384,"Bengaluru, Karnataka, India",1 day ago,2024-08-12,None,None
Google,"Software Engineer, Google Ads",3993624554,"Hyderabad, Telangana, India",6 days ago,2024-08-07,None,None
